PASS the tabs are the authored examples, by authored id and label  ex-keypoints="Graph and key points" · ex-table="Table to graph" · ex-symmetry="Symmetry"
PASS a tab names a whole demonstration, not a representation of one  Graph and key points (figure+relations) · Table to graph (table+figure+relations) · Symmetry (figure+points+relations)
PASS exactly one example is shown at a time  ex-keypoints (shown) · ex-table · ex-symmetry
PASS THE WHOLE IDEA IS IN ONE PANE — the selected example carries every part it authors  ex-keypoints: figure + relations — no tab switch needed to reconstruct it
PASS CONTROL: switching tabs shows ANOTHER COMPLETE EXAMPLE, not the next fragment of this one  ex-table is self-sufficient too (table + figure + relations) and states a different rule
PASS CONTROL: each example is drawn and worded for itself — the panes are not one view repeated  ex-keypoints: 1002-char path, its own statement · ex-table: 1459-char path, its own statement · ex-symmetry: 1466-char path, its own statement
PASS EVERY TAB EXPLORES THE SAME OBJECT THE CONCEPT PANEL DESCRIBES — the page cannot contradict itself  3 plotted functions across 3 tabs, all of them x^2
PASS the concept panel does not change with the tab — it is the stable knowledge beside the demonstrations  4 concepts, identical text and the same nodes across all 3 tabs
PASS CONTROL: change one tab to y = x² + 2 and that check fails — vertex (0, 0) would be false beside it  functions become x^2 and x^2+2
PASS the concept list is exactly what the lesson authors — nothing invented to fill the layout  4 concepts: shape, vertex, symmetry, yvalues
PASS CONTROL: the count follows the JSON, so the four are four because the lesson says so  4 authored → 4 rendered; a fifth is added → 5
PASS a label carrying mathematics keeps its own case; a label of plain words still gets small caps  "Values of y = x2" notation → own case · "Paired x-values" notation → own case
PASS nothing on the Notes page asks the student to type into it  no "record in your notes" field, no "what to write down" panel
PASS the Key Idea is optional, and removing it leaves no reserved hole  absent: no element, 0 empty boxes, heading intact
PASS CONTROL: it really was there to remove — the same page renders it when authored  the aside measured 380px
PASS CONTROL: relabelling, reordering and adding changes the page, with no renderer change  ex-symmetry="The reflection" · ex-keypoints="Graph and key points" · ex-table="Table to graph" · ex-wide="y = 2x2"
PASS and an example may compose different parts — this one authors a relationship and no drawing  one relations part, no figure box reserved for a drawing it does not have
PASS THE SELECTED EXAMPLE HAS A REAL CONTENT AREA AT EVERY WIDTH — never a tab strip over an empty box  1536×1024 split: pane 648×786, figure 616×616 · 1280×900 split: pane 509×646, figure 477×477 · 1024×768 stack: pane 698×500, figure 666×353 · 834×1112 stack: pane 800×658, figure 768×512 · 414×860 stack: pane 380×587, figure 348×396
